date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:03:33	14267/14267	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Feb%202013%2019:53:16%20GMT	http://wbpreview.com/previews/WB0DP4521/images/logo.png	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/images/logo.png	(from )
10:03:33	29417/29417	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202013%2019:52:35%20GMT	http://wbpreview.com/previews/WB0DP4521/index2.html	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/index2.html	(from )
10:03:33	30813/30813	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202013%2019:52:34%20GMT	http://wbpreview.com/previews/WB0DP4521/index3.html	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/index3.html	(from )
10:03:33	28658/28658	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202013%2019:52:36%20GMT	http://wbpreview.com/previews/WB0DP4521/index4.html	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/index4.html	(from )
10:03:34	29015/29015	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202013%2019:52:36%20GMT	http://wbpreview.com/previews/WB0DP4521/index5.html	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/index5.html	(from )
10:03:34	30526/30526	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202013%2019:52:35%20GMT	http://wbpreview.com/previews/WB0DP4521/index6.html	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/index6.html	(from )
10:03:34	20955/20955	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202013%2019:52:31%20GMT	http://wbpreview.com/previews/WB0DP4521/about.html	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/about.html	(from )
10:03:35	26866/26866	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202013%2019:52:38%20GMT	http://wbpreview.com/previews/WB0DP4521/services.html	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/services.html	(from )
10:03:35	30848/30848	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202013%2019:52:33%20GMT	http://wbpreview.com/previews/WB0DP4521/faq.html	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/faq.html	(from )
10:03:35	17527/17527	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202013%2019:52:35%20GMT	http://wbpreview.com/previews/WB0DP4521/login.html	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/login.html	(from )
